itemID|title|author|publisher|language
63392|1 2 3 a calmer me helping children cope when emotions get out of control|colleen a patterson brenda miles claire keay|magination pr|Englisch
75819|100 % mallorca   ausmalbuch|lluisa calafat margalida castells|dix|Deutsch, Englisch, Spanisch
52611|100 first words for toddlers english   spanish bilingual 100 primeras palabras para niños pequeños|jayme yannuzzi|rockridge pr|Englisch
32503|100% maedchen|caroline de hugo sacha maris noémie andré camil|moses verlag gmbh|Deutsch
53219|11|david williams|wild wolf publishing|Deutsch
38683|12 monate angst|dieter winkler joerg kleudgen markus k korb mar|low verlag torsten|Deutsch
67431|123|dk|dorling kindersley ltd|Deutsch
76693|123 coloring book|emma c mc kean|catholic book pub corp|Englisch
53191|1532 a test of courage|canchi uchilla|edit et cetera|Englisch
72027|18 years old + 9 years of experience appreciate your friend loved one or family with this funny bi|thithiabirthdays|independently published|Englisch
8185|1906|ferdinand grautoff|hofenberg|Deutsch
31885|1984 skotnyj dvor esse|george orwell|knizhnik|Russisch
41895|20000 leagues under the sea|judith conaway jules verne, jules verne, jacqueline morley, nan|readzone books, random house, illustrated books, salariya book company ltd, echo library|Englisch
66390|2016 young explorers adventure guide|nancy kress|dreaming robot press|
43923|2018 2019 planner lets do it academic planner 2018 19 weekly calendar organizer with yearly and mo|quipoppe planners|independently published|Englisch
30689|2046|Erxiang|1 plus publishing & consulting|Chinesisch
63255|2121|nikkita pierrottie|lulucom|Deutsch
3865|2121|nikkita pierrottie|lulucom|Deutsch
33600|2122 ad helena 2|harald kaup|noel verlag|Deutsch
31515|2125 ad   janus  |harald kaup|noel verlag|Deutsch
78729|2127 ad   titan|harald kaup|noel|Deutsch
18485|2129 ad   aquarius  |harald kaup|noel|Deutsch
78941|32er duden minis 32er box 6|dorothee raab andrea weller essers|bibliograph instit gmbh|
14472|381|robin stevens|penguin books ltd uk|Deutsch
47957|4|claudell james|iuniverse|Deutsch
64745|4 happy birthday mallory|laurie friedman|darby creek|
73948|444|gudrun s schutting wieser hg andreas unterweg|mymorawa|
67600|444|gudrun s schutting wieser hg andreas unterweg|mymorawa|
30782|5 dei|cristina martin|lulucom|Deutsch
62756|7 dias| d e maria guadalupe|lulucom|Deutsch
72747|>|anna marie ali|xlibris us|
14466|a bad hair day|p k wayne|lightning source inc|Englisch
26442|a banished land|jauch jake jauch, jake jauch|iuniverse, abbott press|Englisch
14606|a beans can on an aristocratic dinner table|behrouz mayelzadeh|kaymanesh|
11873|a bridge of shadow|natalie j case|blurb inc|Englisch
9697|a cat and a hat short vowel rimes|sharon coan|shell educ pub|Englisch
8487|a childs baseball dream|tota moon|xlibris|
47308|a court of frost and starlight acotar adult edition|sarah j maas|bloomsbury uk|Deutsch
41869|a court of mist and fury acotar adult edition|sarah j maas|bloomsbury uk|Englisch
2417|a court of thorns and roses acotar adult edition|sarah j maas|bloomsbury uk|Deutsch
46007|a court of wings and ruin acotar adult edition|sarah j maas|bloomsbury uk|Englisch
63954|a day in the life|william t wilhite|xlibris|Englisch
50418|a day with anion|kenneth l ludeke amalia h ludeke amalia h lude|xlibris|
72894|a different land|paul jennings|a & uc pub, old barn books|Deutsch
66849|a dragon with his mouth on fire teach your dragon to not interrupt a cute children story to teach |steve herman|lightning source inc|Englisch
45713|a er for alfabet/ a is for alphabet|tish gilbert|mort homme books|Norwegisch
46001|a fonte|cs luis|blurb inc|Italienisch
9689|a fonte|cs luis|blurb inc|Italienisch
59150|a fonte|cs luis|blurb inc|Italienisch
41174|a fonte|cs luis|blurb inc|Italienisch
8530|a fonte edição premium de capa dura|cs luis|blurb inc|Portugiesisch
62058|a gata curadora galician edition of the healer cat|tuula pere|wickwick ltd|
31157|a gatherin of cowboy pride|jim chance owens|xlibris|
10607|a gyógyító macska hungarian edition of the healer cat|tuula pere|wickwick ltd|Ungarisch
7698|a ist fuer apple|coloring bandit|coloring bandit|Deutsch
17260|a kidnapped santa claus by l frank baum fiction fantasy fairy tales folk tales legends & mytho|l frank baum|aegypan|Englisch
26880|a land remembered volume 1 student guide edition|patrick d smith|pineapple press|Englisch
53923|a link|szemán zoltán|blurb inc, lulucom|Deutsch
50876|a link|szemán zoltán|blurb inc, lulucom|Deutsch
3387|a link|szemán zoltán|blurb inc, lulucom|Deutsch
62822|a link|szemán zoltán|blurb inc, lulucom|Deutsch
62602|a little princess|frances hodgson burnett, frances hodgson burnett grandmas treasures, franceshodgson burnett|smk books, penguin books ltd uk, benediction classics, harpercollins, virago pr, aladdin, faber & faber, dover publications inc, dover pubn inc, lulucom|Englisch
33311|a little princess|frances hodgson burnett, frances hodgson burnett grandmas treasures, franceshodgson burnett|smk books, penguin books ltd uk, benediction classics, harpercollins, virago pr, aladdin, faber & faber, dover publications inc, dover pubn inc, lulucom|Englisch
41093|a little princess|frances hodgson burnett, frances hodgson burnett grandmas treasures, franceshodgson burnett|smk books, penguin books ltd uk, benediction classics, harpercollins, virago pr, aladdin, faber & faber, dover publications inc, dover pubn inc, lulucom|Englisch
43785|a little princess|frances hodgson burnett, frances hodgson burnett grandmas treasures, franceshodgson burnett|smk books, penguin books ltd uk, benediction classics, harpercollins, virago pr, aladdin, faber & faber, dover publications inc, dover pubn inc, lulucom|Englisch
39940|a little princess|frances hodgson burnett, frances hodgson burnett grandmas treasures, franceshodgson burnett|smk books, penguin books ltd uk, benediction classics, harpercollins, virago pr, aladdin, faber & faber, dover publications inc, dover pubn inc, lulucom|Englisch
20460|a little princess|frances hodgson burnett, frances hodgson burnett grandmas treasures, franceshodgson burnett|smk books, penguin books ltd uk, benediction classics, harpercollins, virago pr, aladdin, faber & faber, dover publications inc, dover pubn inc, lulucom|Englisch
63412|a little princess|frances hodgson burnett, frances hodgson burnett grandmas treasures, franceshodgson burnett|smk books, penguin books ltd uk, benediction classics, harpercollins, virago pr, aladdin, faber & faber, dover publications inc, dover pubn inc, lulucom|Englisch
60875|a little princess|frances hodgson burnett, frances hodgson burnett grandmas treasures, franceshodgson burnett|smk books, penguin books ltd uk, benediction classics, harpercollins, virago pr, aladdin, faber & faber, dover publications inc, dover pubn inc, lulucom|Englisch
17492|a little story about fairies|peter hull|rowanvale books ltd|Englisch
62244|a lovag|márta mueller|epubli|Ungarisch
64598|a m|olavo vieira|lightning source inc|Deutsch
45642|a masquerade|penelope dyan|bellissima publishing llc|Englisch
64187|a meditação da princesa clara historia infantil livros infantis livros de crianças livros para b|nerissa marie|lightning source inc|Portugiesisch
58008|a micro classic trilogy the hero of troy the trojan horse & ulysses and the cyclops|james j cullen|xlibris us|Englisch
26120|a midsummer nights dream a shakespeare childrens story|william shakespeare macaw books|sweet cherry publishing|Englisch
71103|a most remarkable hat|j a mcphail|rowe publishing|Englisch
31227|a new bag|penelope dyan|bellissima publishing llc|Englisch
35729|a nightmare on clown street goosebumps most wanted 7 volume 7|r l stine|scholastic|Englisch
7922|a place made for we|lisa s french|favorite world press llc|Englisch
15020|a place where sunflowers grow = sabaku ni saita himawari|amy lee tai|childrens book pr|Japanisch
22437|a pribék|ian pole|blurb inc|Ungarisch
23100|a pribék|ian pole|blurb inc|Ungarisch
23514|a pribék|ian pole|blurb inc|Ungarisch
37907|a private collection boxed set private invitation only untouchable confessions|kate brian|simon pulse|Englisch
61906|a programozó koenyve|bálint endre, balint endre|blurb inc, lulucom|Ungarisch
76803|a quite extraordinary umbrella|j a mcphail|rowe publishing|Englisch
23585|a rhino to the rescue a tale of conservation and adventure|cleve hicks|lightning source inc|Englisch
52167|a river of secrets|lucas astor alexandrea weis|vesuvian books|Englisch
5216|a series of unfortunate event 08 the hostile hospital|lemony snicket|egmont uk limited|Englisch
63095|a series of unfortunate events 03 the wide window netflix tie in|lemony snicket|egmont uk limited|Englisch
8130|a series of unfortunate events 04 the miserable mill|lemony snicket|egmont uk limited|Englisch
55885|a series of unfortunate events 07 the vile village|lemony snicket|egmont uk limited|Englisch
47187|a series of unfortunate events 09 the carnivorous carnival|lemony snicket|egmont uk limited|Englisch
60624|a shaun the sheep movie farmageddon book of the film|sweet cherry publishing gemma barder aardman ani|sweet cherry publishing|Englisch
71078|a shocker on shock street classic goosebumps 23 volume 23|r l stine|scholastic|Englisch
