itemID|title|titleFound|author_raw|author_api|language|collection|isbn|publisher_raw|publisher_api|publishedDate|description|main topic|subtopics|thumbnail|maturityRating|pageCount|isEbook
64846|!!|||||||AUTHORHOUSE||||FM|                                ||||
14300|#mexicanrevolution (Edizione Italiana)||I. D. Oro|||||INDEPENDENTLY PUBLISHED||||YFZR|                                ||||
23372|(Commander Kellie and the Superkids' Novel #9) the False Identity||Christopher P. N. Maselli|||||HARRISON HOUSE||||YFK|                                ||||
72747|>||Anna Marie Ali|||||Xlibris US||||YFP|                                ||||
41716|1 For All||Sean Mccollum|||||Brattle Publishing Group, LLC||||YNWD3| YFR                              ||||
67431|1,2,3||DK|||||Dorling Kindersley Ltd||||YBLC|                              ||||
75819|100 % Mallorca - Ausmalbuch||Lluisa Calafat, Margalida Castells|||||DIX||||Y|                               ||||
43665|100 Facts Bugs|||||||Miles Kelly Publishing Ltd||||YBLA|                                ||||
57372|100 First Words||Tiger Tales|||||TIGER TALES||||YBL|                                ||||
52611|100 First Words for Toddlers: English - Spanish Bilingual: 100 Primeras Palabras Para Niños Pequeños||Jayme Yannuzzi|||||ROCKRIDGE PR||||YPCA21| YBLA                               ||||
19902|100 Things||Masayuki Sebe|||||Gecko Press||||YBL| 5AD                               ||||
2820|100% ich!|||||||Lingen, Helmut Verlag||||YBG| YBL                              ||||
12314|1000 Easter Stickers||Charlotte Stratford|||||MAKE BELIEVE IDEAS INC||||YF|                                ||||
12858|1000 Gründe, warum ich unmöglich nach Portugal kann||Katja Alves|||||Beltz||||YF|                               ||||
53219|11||David Williams|||||Wild Wolf Publishing||||FXM|                                ||||
4527|110||Steven W. P. Wu|||||Partridge Singapore||||FL|                                ||||
48505|12||Katrin Bohnen, Christina Löw, Christin C. Mittler,|||||Books on Demand||||FYB| FM FYB                           ||||
38683|12 Monate Angst||Dieter Winkler, Jörg Kleudgen, Markus K. Korb, Mar|||||Low, Verlag Torsten||||FKM| FYB                           ||||
63392|1-2-3 a Calmer Me: Helping Children Cope When Emotions Get Out of Control||Colleen A. Patterson, Brenda Miles, Claire Keay|||||MAGINATION PR||||YXE| YF                             ||||
76693|123 Coloring Book||Emma C. MC Kean|||||CATHOLIC BOOK PUB CORP||||YBLC| YNRM                               ||||
71137|13 Secrets||Michelle Harrison|||||LITTLE BROWN & CO||||YFCF| YFH                               ||||
17980|13 Stories||Richard F. Jarmain|||||AuthorHouse||||FM|                                ||||
73881|13 Thunders||O. D. Wells|||||1st Book Library||||FM| 5PGM FW                              ||||
51914|1520-1522||Le Chroniqueur de la Tour|||||Books on Demand||||FMH| 3MD                               ||||
53191|1532: A Test of Courage||Canchi Uchilla|||||EDIT ET CETERA||||YFT|                                ||||
45459|1632||Eric Flint|||||BAEN||||FDK| FL                               ||||
74715|1637: The Coast of Chaos, Volume 34|||||||BAEN||||FLG|                               ||||
18613|1637: The Peacock Throne, Volume 31||Eric Flint, Griffin Barber|||||BAEN||||FDK| FLG                             ||||
16754|17||Andres Männer|||||TWENTYSIX||||FM| 5AQ                               ||||
9567|17 Years||Rmon Jefferson|||||AuthorHouse||||FL|                                ||||
38930|1712||Pit Vogt|||||Books on Demand||||FM|                                ||||
50926|18 Months||Samantha Boyette|||||Bold Strokes Books||||YFCF|                                ||||
72027|18 Years Old + 9 Years of Experience: Appreciate Your Friend, Loved One or Family with This Funny Bi||Thithiabirthdays|||||INDEPENDENTLY PUBLISHED||||YFD|                               ||||
19915|1814||Craig Godfrey|||||Penmore Press LLC||||FF| FH                               ||||
"8185|7932"|1906||Ferdinand Grautoff|||||Hofenberg||||FL|                                ||||
31885|1984. Skotnyj dvor. Esse||George Orwell|||||KNIZHNIK||||FL|                                ||||
37005|2012||Tomasella Ryan Tomasella, Ryan Tomasella|||||iUniverse||||FJ| FL                              ||||
17667|2029 - Geschichten von morgen|||||||Suhrkamp Verlag AG||||JBFZ| DNT FBA FYB JB JBFZ                           ||||
32551|2030||Kurt Stahnke|||||Books on Demand||||FLP|                                ||||
48702|2030: The Real Story of What Happens to America||Albert Brooks|||||ST MARTINS PR||||FL|                                ||||
3361|2034||Elliot Ackerman, James Stavridis|||||Penguin LCC US||||FHP| FBA FJM FL FM FXP                          ||||
