,itemID,recommendedBook
0,12,"['56148', '33530', '10698', '72004', '70402']"
1,45274,"['7262', '15116', '6210|18662', '65147', '32030']"
2,10104,"['10143', '58103', '10317', '72922', '50866']"
3,41371,"['5376', '46995', '28401', '18617', '46077']"
4,14015,"['20173', '59077', '13103', '40294', '54587']"
5,28515,"['16509', '11589', '40011', '66471', '29700']"
6,70766,"['42412', '57560', '61176', '39537', '34037']"
7,1822,"['55029', '29355', '1516', '48812', '2537']"
8,56794,"['2121', '44420', '46738', '69830', '16099']"
9,60188,"['23137', '14935', '55748', '70998', '27500']"
10,62060,"['39658', '67002', '28229', '34906', '67539']"
11,31401,"['30627', '28820', '15749', '55787', '31719']"
12,6420,"['48250', '42660', '37869', '22447', '17817']"
13,72855,"['62781', '11193', '6177', '52979', '16996']"
14,73378,"['14700', '29605', '32216', '66162', '28017']"
15,25049,"['68868', '6894', '11032', '22904', '55228']"
16,24603,"['39483', '32145|73596', '76045|76704', '64181|30561|10522', '8726']"
17,5737,"['27599', '35293', '29098', '7479', '24175']"
18,38980,"['16268', '34590', '47300', '16309', '40700']"
19,13382,[]
20,75121,"['39425', '26274', '28451', '61099', '64495']"
21,39779,"['51604', '16996', '6177', '11193', '52979']"
22,14026,"['48357', '35673', '30971', '36285', '19430']"
23,9392,"['11953', '957', '11594', '71591', '26646']"
24,77956,"['48325', '70706', '32762', '77738', '29378']"
25,70300,[]
26,77134,"['8101', '68886', '40741', '29977', '39848']"
27,75340,"['30470', '15901', '65295', '12144', '56077']"
28,51066,"['13495', '59482', '11104', '10720', '5036']"
29,67776,"['6740', '31002', '16996', '11193', '52979']"
30,53929,"['56232', '37356', '77326', '5030', '21356']"
31,22342,"['32874', '50389', '10663', '2665', '40700']"
32,41116,"['62743', '69571', '36664', '59712', '59924']"
33,60331,"['44567', '20448', '57628', '47578', '6132']"
34,65307,"['20282', '51327', '8217', '65002', '11721']"
35,50039,[]
36,42184,"['17745', '12617', '32386', '43213', '57005']"
37,76163,"['16142', '46681|64452', '59121', '22802', '74913']"
38,2319,"['8183', '61622', '56579', '29757', '57463']"
39,62494,"['5421', '27493', '40902', '28475', '62022']"
40,31015,"['74006', '41125', '30386', '15493', '28563']"
41,21497,"['21680', '19761', '77708', '48669', '8679']"
42,53008,"['59779', '63906', '46795|44986', '66448', '26262']"
43,39308,"['7780', '51509', '33619', '59774', '10158']"
44,4690,"['47357', '58973', '58305', '19496', '10609']"
45,19777,"['54827', '27295', '69585', '46778', '29947']"
46,10078,"['20749', '43513', '27943', '27301', '33392']"
47,65353,"['29555', '11729', '41314', '29202', '35044']"
48,58847,"['35419', '17183', '72190', '43816', '26363']"
49,61593,"['24271', '3071', '54210', '48948', '37506']"
50,18537,"['32486', '54160', '71502', '12978', '22963']"
51,73427,"['65884', '41703', '65226', '6954', '60785']"
52,7521,"['21716', '72684', '6326', '13901', '4351']"
53,71586,"['33094', '6118', '40865', '3421', '26866']"
54,13772,"['58218', '49560', '23376|59991|74898|45275|48438|19738', '63688', '43711']"
55,33092,"['63952', '53575', '6295', '24851', '56217']"
56,74398,"['72081', '41241|29064|70119', '46055|69540', '45870|58638', '71474']"
57,74089,"['7163', '38228', '12745', '20825', '38726']"
58,57282,"['18498', '7612', '38231', '16439', '3343']"
59,38760,"['21311', '55781', '63734', '38366', '76160']"
60,15657,"['26193', '53604', '28216', '18697', '10663']"
61,17665,"['43222', '9214', '30546', '51168', '24107']"
62,75251,"['65078', '6891', '65902', '13661', '55049']"
63,56282,"['22121', '54482', '27774', '25040', '70909']"
64,73973,"['44814', '58982', '54684', '73102', '1572']"
65,19994,"['29774', '22574', '27391', '36672', '56948']"
66,47098,"['42758', '73135', '34213|33017', '37908', '30284']"
67,54190,"['58952', '54518', '73868', '36596', '48356']"
68,61043,"['78608', '13545', '52254', '24898', '53777']"
69,78675,"['49569', '10713|46591', '22205|261', '27552', '17761']"
70,40394,"['29184', '307', '14023', '37057', '12733']"
71,43844,"['6306', '28198', '36358', '76569', '56369']"
72,27300,"['74992', '62241', '48707', '11280', '38613']"
73,22870,"['3615', '52979', '11193', '16996', '62781']"
74,61707,"['16748', '38418', '20140', '30441', '76451']"
75,17888,"['63525', '14389', '32201', '66871', '40243']"
76,48292,"['42391', '74387', '10063', '26170', '55209']"
77,2054,"['57144', '44177', '48081', '58983', '42417']"
78,6643,"['34650', '72149', '45513', '27940', '18155']"
79,3857,"['12726', '4409', '64433', '25038', '59791']"
80,64350,"['46677', '35539', '67231', '33411', '61302']"
81,10833,"['77853', '63900', '37323', '5570', '67725']"
82,33556,"['23417', '31709', '73418', '71374', '19314']"
83,23256,"['14050', '52290', '2964', '31874', '71117']"
84,53880,"['1904', '50561', '77425', '3308', '1808']"
85,75694,"['14427', '26606', '20698', '68836', '55163']"
86,17770,"['64461', '22269', '76591', '77929', '30124']"
87,9365,"['60882', '56869', '40374', '78109', '10874']"
88,11177,"['68293', '44498', '24392', '21173|24082', '2091']"
89,48659,"['39259', '46886|67457', '73672', '56860', '55334']"
90,18169,"['8239', '50584', '7827', '67365', '19552']"
91,48490,"['27470', '8515', '862', '34458', '71603']"
92,70627,"['51160', '73314', '56265', '35731', '39986']"
93,40000,[]
94,18665,"['54007', '11599', '46961', '28863', '55311']"
95,35574,"['77348', '29326', '71655', '53219', '7922']"
96,11732,"['1530', '76383', '25524', '40327', '23423']"
97,6798,"['25674', '76226', '2186', '9979', '59296']"
98,42415,"['13497', '46023', '17442', '16573', '7797']"
99,64236,"['3863', '34037', '22000', '71372', '54616']"
100,60644,[]
101,11595,"['34261', '73215', '32763', '33416', '18566']"
102,39957,"['78754', '42385', '29150', '3983', '1960']"
103,1519,"['64772', '64362', '41551', '12600', '3196']"
104,10075,"['27470', '8515', '862', '34458', '71603', '48490']"
105,25209,"['7636', '61852', '32060', '5953', '75401']"
106,7108,"['16690', '16486', '30464', '38843', '36712']"
107,67848,"['62216', '67244', '25420', '74314', '59342']"
108,40424,"['17170', '33014', '27981', '59553', '1555']"
109,72523,"['25104', '33248', '51688', '69870', '20448']"
110,60588,"['57451', '17240', '105', '32081', '47861']"
111,21315,"['14160', '52454', '10227', '12462', '73889']"
112,50356,"['60780', '39253', '64507', '47678', '41541']"
113,75904,"['68843', '34312', '55151', '4528', '60860']"
114,17240,"['57451', '38084', '24720', '31041', '19399|34944|60588']"
115,24218,"['73975', '16201', '22464', '54040', '78189']"
116,21949,"['35532', '49178', '28090', '71418', '22123']"
117,6478,"['4092', '10140', '41221', '74501', '55616']"
118,76242,"['40104', '33936', '27368', '13475', '48010']"
119,71112,"['67725', '5570', '7764', '41623', '48263']"
120,76437,"['38767', '45801', '10767', '20691', '77911']"
121,52656,"['39150', '34321', '16779', '45390', '47150']"
122,10304,"['65877', '9178', '46119', '11381', '9619']"
123,25399,"['45942', '37773', '45484', '52995', '51239']"
124,71619,"['63599', '2094', '32512', '19118', '4778']"
125,31439,"['48562', '73109', '41090', '19103|68632', '14425']"
126,14323,"['5087', '45820', '19669', '63734', '46535']"
127,10842,"['4828', '13206', '31086', '74110', '73856']"
128,39515,"['48838', '54656', '76795', '9419|16782', '24060|8200']"
129,59732,"['7649|51751|3921|46312|68005|48391|21668', '31094|32176|30575|53801', '39275', '45303|56204', '20923']"
130,56452,"['49373', '73617', '58875', '69534|55441|31022', '58280']"
131,53496,"['53365|68781', '42412', '51996|33605', '54616', '71372']"
132,27903,"['38995', '57382', '11330', '14080', '45256']"
133,53672,"['62768', '30613', '60509', '59190', '13675']"
134,29813,"['46995', '41797', '6132', '16837', '45316']"
135,67909,[]
136,36620,"['1070|27050', '16996', '52979', '6177', '62781']"
137,44197,"['72806', '34802', '44657', '20660', '49926']"
138,68772,"['32233', '10558', '54858', '39226', '68061']"
139,72058,"['40535', '76219', '54246', '40255', '1151']"
140,17921,"['71215', '39711', '67273', '35118', '22723']"
141,67832,"['33157', '18146', '50969', '47300', '2665']"
142,73203,"['6628', '16616', '41455', '67568', '65022']"
143,30873,"['58914', '6557', '47301', '70578', '39973']"
144,46059,"['77948', '56059', '21610', '48543', '44415']"
145,49615,"['76535', '76310', '77442', '19822', '37904']"
146,76629,"['63360', '48595', '7607', '17409', '49538']"
147,55488,"['53582', '29054', '53086', '4686', '27153']"
148,30713,"['13837', '40327', '23423', '35591', '49714']"
149,3527,"['22192', '48566', '65', '2600', '77268']"
150,52884,"['24466', '8511', '6642', '59444', '32760']"
151,48270,"['1808', '6601', '3308', '48577', '66029']"
152,18224,"['6651', '27977', '3460', '69693', '56337']"
153,39309,"['1424', '45902', '29309', '74173', '37950']"
154,11265,"['10623', '77342', '12140', '52716', '70796']"
155,8288,"['58123', '28729', '46223', '60122', '40492']"
156,40312,"['35291', '66730', '58428', '49558', '56098']"
157,35418,"['5273', '54152', '61769', '33273', '39496']"
158,78181,"['13504', '71797', '67157', '31043', '59186|12040']"
159,8859,"['13065', '65215', '68479', '72401', '45937']"
160,3875,"['65369', '41041', '42241', '58263', '41318']"
161,17348,"['54372', '48763', '32405', '41811', '30784']"
162,37321,"['45261', '10063', '67765', '25756', '74387']"
163,22277,"['29480', '23197', '60233', '68588', '42389']"
164,52705,"['25196', '7946', '59561', '5659', '37098']"
165,26856,"['11058', '30674', '48156', '36471', '27330']"
166,36095,[]
