|itemID
44220|1687
40692|1286
38123|1060
52087|709
36339|526
3083|488
47103|443
9783|440
63166|422
53761|417
53497|390
19843|379
17284|374
31293|347
18438|341
40250|339
23148|335
55796|293
58780|272
31200|250
56801|248
78885|244
52234|221
28844|214
77556|206
10402|200
34071|198
43347|197
54580|188
13107|185
55004|183
34748|174
57144|173
54417|172
46734|171
62594|166
63299|166
41798|166
31889|163
46617|159
18942|157
27035|157
56300|157
36856|156
49410|155
49994|155
38540|153
21051|151
38048|151
23541|149
73124|142
19949|142
51404|142
46389|142
18178|142
35973|138
78786|136
34801|136
34382|133
50429|132
29835|131
44985|130
78747|128
22715|127
42710|125
59717|124
19452|124
20641|122
9265|122
54550|121
34109|121
9028|121
65301|119
74608|118
29525|113
69779|112
23645|111
44991|110
9883|109
42188|108
41278|106
40044|100
72530|100
63186|99
42989|98
6175|94
61540|93
70179|93
15813|93
26112|92
48668|91
67700|91
24352|90
43403|90
14056|88
38808|87
16932|87
4778|87
31465|86
71641|85
60854|85
48240|84
31208|84
65521|83
50858|81
110|80
25936|79
15884|79
37268|78
77228|77
73958|77
6052|77
78532|77
58010|76
27170|76
27486|75
62201|73
38256|73
69440|72
48335|71
51013|69
57553|69
23466|68
6111|67
48222|67
65012|67
6082|64
60075|63
27488|62
71766|61
71455|61
71708|60
1040|60
19587|60
32327|59
64413|59
36347|59
63220|58
65136|58
2543|58
7541|57
16989|57
10677|57
54247|57
515|56
9018|56
74695|55
62504|55
65212|55
36228|54
71596|54
20894|54
63599|53
44737|53
24846|53
69946|53
3113|52
74150|52
24340|51
22143|51
62887|50
35396|50
67035|50
12922|50
48969|49
28966|49
51220|49
34314|48
20767|48
12357|47
2519|47
35712|47
73707|47
28572|47
55144|46
63485|45
51000|45
46587|45
64685|45
2412|45
23718|45
15781|44
63706|44
67006|44
2136|44
23011|44
7488|43
24547|42
26240|42
1776|42
47163|41
14313|41
42270|41
49628|40
39396|40
54482|40
64277|40
18315|39
34931|39
40951|39
2434|39
7617|39
58436|39
28519|38
67721|38
42241|38
71747|38
66285|38
57145|38
48786|37
25743|37
40241|36
56835|36
20689|36
59322|35
77481|35
5849|35
43710|35
60615|35
13676|35
15403|35
35468|35
30592|35
45107|34
61871|34
58912|34
34184|34
44642|34
38013|34
1798|34
36498|33
3166|33
49792|33
24426|33
62811|33
25821|33
54609|33
77966|32
70406|32
16505|32
25606|32
26527|32
70875|32
71523|32
56502|32
44353|32
42715|32
12843|32
22131|32
5070|31
65657|31
29242|31
36505|31
45981|31
19373|30
46904|30
74845|30
25115|30
62360|30
58587|30
14573|29
13425|29
23156|29
54943|29
31919|29
19227|29
40664|29
5385|29
5405|28
36484|28
21206|28
36987|28
27883|28
31436|28
69519|28
15570|28
41950|28
67304|28
70451|27
42675|27
21208|27
69653|27
18555|27
66908|27
70791|27
25513|26
40449|26
12911|26
2158|26
18724|26
59945|26
52602|26
44835|26
4192|26
33298|26
38650|25
48387|25
48440|25
45872|25
23951|25
33125|25
63257|25
63265|25
28023|25
59213|25
31578|25
27647|24
14530|24
3546|24
857|24
23624|24
17|24
28814|24
52858|24
33335|24
14157|24
4024|24
64585|24
26054|24
42429|24
4137|23
52813|23
42644|23
48579|23
60845|23
68036|23
11442|23
57390|23
39158|23
23117|23
28807|23
8956|23
18019|23
70436|23
26012|22
68775|22
52385|22
51443|22
4991|22
10198|22
4265|22
8803|22
58392|22
14031|22
6923|22
71578|22
60213|22
22065|22
67339|22
45069|22
27385|22
36813|22
62777|22
18700|22
53408|22
67801|21
12429|21
17742|21
56275|21
11895|21
42302|21
41318|21
62732|21
27848|21
43832|21
49616|21
35107|20
60411|20
41912|20
56974|20
33558|20
19177|20
66032|20
32204|20
30786|20
37470|20
19372|20
9752|20
36549|20
72779|20
46858|20
50495|19
47850|19
25534|19
69428|19
19118|19
13763|19
71619|19
7930|19
43748|19
33583|19
11197|19
16089|19
12177|19
74623|19
70944|19
23936|19
32508|19
26798|19
56905|18
60937|18
5022|18
50334|18
37298|18
69816|18
68261|18
37116|18
3713|18
15197|18
55582|18
75799|18
25760|18
71022|18
52630|18
36230|17
26078|17
5554|17
69967|17
5450|17
5669|17
36095|17
2792|17
11572|17
36448|17
42017|17
11318|17
3722|17
64376|17
35542|17
33023|17
17384|17
2467|17
7545|17
14588|17
77435|17
13369|17
35690|17
74306|17
1177|17
7140|16
16806|16
65356|16
20794|16
3967|16
11710|16
67887|16
12810|16
63219|16
75236|16
76622|16
18009|16
2361|16
50973|16
35563|16
72276|16
31129|16
58223|16
36239|16
70228|16
58239|16
15572|16
24819|15
2845|15
16845|15
66480|15
57469|15
62659|15
47643|15
60565|15
23342|15
41974|15
72225|15
21318|15
30833|15
158|15
47016|15
66559|15
53473|15
26159|15
3281|15
59613|15
40629|15
46294|15
2484|15
45238|15
70841|15
60226|15
46341|15
13183|15
16662|15
60873|15
46118|15
6719|14
25040|14
53621|14
78126|14
46086|14
68726|14
39101|14
39838|14
49457|14
15431|14
55816|14
7659|14
10215|14
48258|14
51484|14
2671|14
1685|14
2226|14
44734|14
35362|14
77596|14
58919|14
13738|14
73340|14
30799|14
50630|14
16903|14
10708|14
55804|14
7442|14
39646|14
62983|14
37450|14
26763|14
50561|14
2687|14
26238|14
56932|14
64177|13
12870|13
23377|13
9803|13
62764|13
46574|13
49921|13
64897|13
25165|13
3589|13
77856|13
4717|13
21017|13
70118|13
43123|13
33641|13
32512|13
24379|13
5702|13
36555|13
29901|13
57063|13
59158|13
71159|13
51482|13
70398|13
29921|13
74380|13
57022|13
27774|13
25198|13
44206|13
37114|13
57740|13
7621|13
76134|12
47338|12
55285|12
77200|12
33883|12
11894|12
38027|12
55341|12
74167|12
2967|12
35358|12
40783|12
35394|12
49571|12
15915|12
48885|12
37642|12
53200|12
64324|12
56282|12
73232|12
49684|12
36509|12
62034|12
14663|12
57109|12
21250|12
76665|12
22121|12
56911|12
11287|12
71705|12
62162|12
13073|12
16650|12
9663|12
68927|12
68034|12
37184|12
26567|12
51341|12
72920|12
60127|12
61804|11
35898|11
70526|11
252|11
21846|11
53277|11
30785|11
41311|11
42607|11
66636|11
37259|11
74333|11
68110|11
66773|11
61435|11
78719|11
59230|11
31811|11
46014|11
67929|11
70885|11
35369|11
70909|11
18686|11
30718|11
12944|11
48023|11
78430|11
45060|11
35810|11
7373|11
15824|11
71413|11
62064|11
43140|11
76018|10
22027|10
18397|10
55767|10
19581|10
70314|10
42174|10
25088|10
55129|10
51136|10
25085|10
74426|10
30116|10
32790|10
26522|10
76016|10
1286|10
38157|10
3526|10
51800|10
59854|10
21199|10
50960|10
76214|10
54494|10
22527|10
26297|10
55010|10
39549|10
31415|10
32611|10
16728|10
73906|10
33227|10
52266|10
45208|10
68880|10
77847|10
3544|10
54759|10
41630|10
17667|10
14923|10
37313|10
68172|10
59724|9
59005|9
16023|9
