,itemID,meta,keyword,image,combined
0,12,"['56148', '33530', '10698', '72004', '70402']","['75889', '53101', '43096', '71352', '73651|7775']","['3045', '55782', '14509', '70213', '57230']","['56148', '33530', '10698', '72004', '70402']"
1,45274,"['7262', '15116', '6210|18662', '65147', '32030']","['70477', '48212', '42730', '8560', '6562|62455']",[''],"['7262', '15116', '6210|18662', '65147', '32030']"
2,10104,"['10143', '58103', '10317', '72922', '50866']","['22222', '69843', '49755', '16945', '28832']","['49607', '23661', '68174', '28850', '28496']","['10143', '58103', '10317', '72922', '50866']"
3,41371,"['5376', '46995', '28401', '18617', '46077']",[''],[''],"['5376', '46995', '28401', '18617', '46077']"
4,14015,"['20173', '59077', '13103', '40294', '54587']","['48923', '68662', '62144', '40130', '59077']","['78923', '27267', '59657', '28850', '24521']","['59077', '20173', '13103', '40294', '54587']"
5,28515,"['16509', '11589', '40011', '66471', '29700']","['63044', '58044', '54748|6469', '56718', '10886']","['60558', '44801', '70023', '6875', '68716']","['16509', '11589', '40011', '66471', '29700']"
6,70766,"['42412', '57560', '61176', '39537', '34037']",[''],[''],"['42412', '57560', '61176', '39537', '34037']"
7,1822,"['55029', '29355', '1516', '48812', '2537']","['68179', '67964', '55975', '21777', '53080']","['78923', '24813', '14400', '29012', '56094']","['55029', '29355', '1516', '48812', '2537']"
8,56794,"['2121', '44420', '46738', '69830', '16099']",[''],[''],"['2121', '44420', '46738', '69830', '16099']"
9,60188,"['23137', '14935', '55748', '70998', '27500']",[''],"['56763', '65917', '23808', '73702|39650', '60699']","['23137', '14935', '55748', '70998', '27500']"
10,62060,"['39658', '67002', '28229', '34906', '67539']",[''],[''],"['39658', '67002', '28229', '34906', '67539']"
11,31401,"['30627', '28820', '15749', '55787', '31719']","['33884', '40871', '70644', '12531', '28598']","['17872', '15765', '70146', '59657', '1445']","['30627', '28820', '15749', '55787', '31719']"
12,6420,"['48250', '42660', '37869', '22447', '17817']",[''],"['49607', '2727|6732', '77156', '38072', '34126']","['48250', '42660', '37869', '22447', '17817']"
