book_id,model_id,team_id,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
12,4,mannheimminers,53101,2445,19439,73651,57244
45274,4,mannheimminers,45274,70477,48212,42730,1746
10104,4,mannheimminers,10143,22222,28832,49755,15122
41371,4,mannheimminers,29539,54689,5376,50757,4752
14015,4,mannheimminers,59077,20173,48923,68662,62144
28515,4,mannheimminers,58477,63044,60199,58044,54633
70766,4,mannheimminers,44234,17903,5739,49187,14932
1822,4,mannheimminers,68179,55029,29355,21355,69660
56794,4,mannheimminers,44420,2121,47195,12699,38834
60188,4,mannheimminers,14935,23137,16020,33651,29772
62060,4,mannheimminers,1136,37310,34366,34906,40344
31401,4,mannheimminers,33884,40871,57097,12531,28598
6420,4,mannheimminers,25926,74428,59314,55578,63538
72855,4,mannheimminers,49306,37229,14013,48465,10410
73378,4,mannheimminers,14700,32216,51047,29605,28017
25049,4,mannheimminers,27466,48096,26561,38813,59530
24603,4,mannheimminers,54569,24603,32145,45686,77891
5737,4,mannheimminers,27599,74591,35293,7479,42666
38980,4,mannheimminers,63573,57580,75923,9344,7115
13382,4,mannheimminers,39488,60644,52254,34313,54170
75121,4,mannheimminers,28451,61099,26274,64495,4228
39779,4,mannheimminers,41382,50269,24755,48137,35930
14026,4,mannheimminers,76538,64438,78769,30708,32014
9392,4,mannheimminers,13957,957,66476,15857,78500
77956,4,mannheimminers,70706,48325,32762,43848,32880
70300,4,mannheimminers,29104,45054,12115,437,17638
77134,4,mannheimminers,8101,29977,68886,40741,62065
75340,4,mannheimminers,29763,40248,55774,63631,10399
51066,4,mannheimminers,51066,5036,49507,29571,77594
67776,4,mannheimminers,6740,54725,15287,5558,55410
53929,4,mannheimminers,29849,27817,6618,24285,56232
22342,4,mannheimminers,22342,28979,50389,75184,51684
41116,4,mannheimminers,59430,75020,4425,30105,18413
60331,4,mannheimminers,14666,68713,54255,41808,46264
65307,4,mannheimminers,37515,70040,1510,69769,7183
50039,4,mannheimminers,54037,30706,2885,24036,43931
42184,4,mannheimminers,17745,37567,32386,28478,12617
76163,4,mannheimminers,16142,34524,74913,39257,57311
2319,4,mannheimminers,30023,66049,44711,16123,36606
62494,4,mannheimminers,27493,62433,19761,44066,32132
31015,4,mannheimminers,4846,59816,16608,78928,74006
21497,4,mannheimminers,48669,77708,19761,21680,50618
53008,4,mannheimminers,67796,59779,8614,54465,56729
39308,4,mannheimminers,10158,36430,51509,33619,7780
4690,4,mannheimminers,34119,62681,73855,25364,66756
19777,4,mannheimminers,54827,27295,16447,29947,32990
10078,4,mannheimminers,20749,43513,43270,27943,33392
65353,4,mannheimminers,11062,101,63819,29718,4973
58847,4,mannheimminers,36638,35419,25148,54818,41637
61593,4,mannheimminers,53999,6630,7190,64143,71908
18537,4,mannheimminers,63283,46712,49641,7133,21059
73427,4,mannheimminers,73427,65226,71506,65884,41703
7521,4,mannheimminers,6326,21716,4351,24271,23215
71586,4,mannheimminers,33048,33094,27894,17555,8472
13772,4,mannheimminers,58218,23376,51082,1778,35457
33092,4,mannheimminers,70120,18086,63952,22274,24851
74398,4,mannheimminers,75305,72081,41241,23947,66181
74089,4,mannheimminers,7163,51990,77728,50207,68804
57282,4,mannheimminers,40070,18498,69520,17897,32705
38760,4,mannheimminers,45237,63734,21580,19669,45820
15657,4,mannheimminers,26193,28216,49947,16250,15149
17665,4,mannheimminers,9282,43222,73588,37104,37594
75251,4,mannheimminers,65078,65902,6891,55049,70659
56282,4,mannheimminers,25040,27774,29478,33357,54482
73973,4,mannheimminers,71771,9597,59024,17664,12416
19994,4,mannheimminers,29774,56948,36672,48754,44673
47098,4,mannheimminers,42758,44842,34213,37908,4528
54190,4,mannheimminers,58532,54518,38690,1743,51445
61043,4,mannheimminers,73911,30517,58610,78608,8055
78675,4,mannheimminers,78675,49569,10713,40351,15578
40394,4,mannheimminers,29184,307,14023,37057,12733
43844,4,mannheimminers,66035,6306,26346,16350,38606
27300,4,mannheimminers,17457,69288,28524,15243,60598
22870,4,mannheimminers,3615,64640,5721,39670,59004
61707,4,mannheimminers,15204,13158,41701,27837,37418
17888,4,mannheimminers,67221,47405,57135,14389,63525
48292,4,mannheimminers,30745,13626,54313,52462,30558
2054,4,mannheimminers,8580,48168,23133,54633,2082
6643,4,mannheimminers,2126,73311,10300,24777,22561
3857,4,mannheimminers,12726,54327,65073,78310,5367
64350,4,mannheimminers,16857,46268,46677,36083,34643
10833,4,mannheimminers,49521,78361,29798,37323,65818
33556,4,mannheimminers,71374,13145,73418,23417,32515
23256,4,mannheimminers,87,51151,15124,31874,18465
53880,4,mannheimminers,1904,50561,77425,50733,4200
75694,4,mannheimminers,33409,73056,5131,14427,44532
17770,4,mannheimminers,16427,69743,48701,32778,1970
9365,4,mannheimminers,60882,34476,67825,78418,46373
11177,4,mannheimminers,68293,24392,11421,61824,9411
48659,4,mannheimminers,27477,46886,56860,55334,39259
18169,4,mannheimminers,55524,75439,21320,20691,38913
48490,4,mannheimminers,52670,10060,69119,50671,49871
70627,4,mannheimminers,17296,51160,73314,66937,11353
40000,4,mannheimminers,65452,57747,67170,40703,53538
18665,4,mannheimminers,52938,54007,1265,48351,71640
35574,4,mannheimminers,77348,63846,29326,71655,22660
11732,4,mannheimminers,76383,1530,68773,21691,63828
6798,4,mannheimminers,16780,25674,33862,76226,33342
42415,4,mannheimminers,16573,52011,70659,50792,71944
64236,4,mannheimminers,36070,41936,20761,25835,38018
60644,4,mannheimminers,39488,60644,52254,34313,54170
11595,4,mannheimminers,32763,33416,18566,27796,58397
39957,4,mannheimminers,59002,71266,32599,78754,49609
1519,4,mannheimminers,18362,20237,23232,53466,72835
10075,4,mannheimminers,30879,39367,47327,65528,57268
25209,4,mannheimminers,70388,25699,9482,7262,66649
7108,4,mannheimminers,19484,35703,16750,23706,72235
67848,4,mannheimminers,50583,12063,76247,54691,2301
40424,4,mannheimminers,1555,59553,17170,27981,40330
72523,4,mannheimminers,27374,35941,48573,20615,69783
60588,4,mannheimminers,19399,105,21220,13173,35894
21315,4,mannheimminers,47270,69471,31241,40028,11064
50356,4,mannheimminers,9795,41835,78717,28789,30237
75904,4,mannheimminers,75904,75311,10702,48326,34312
17240,4,mannheimminers,24720,38084,31041,2968,52116
24218,4,mannheimminers,42292,400,49064,8800,17098
21949,4,mannheimminers,49178,78562,403,38460,27678
6478,4,mannheimminers,9417,28026,44920,12175,28014
76242,4,mannheimminers,28111,49169,38827,62074,33936
71112,4,mannheimminers,5518,40180,38251,62635,65579
76437,4,mannheimminers,77911,2879,20691,21506,7811
52656,4,mannheimminers,76998,76806,76692,56431,16779
10304,4,mannheimminers,11938,28743,40716,48716,45115
25399,4,mannheimminers,45942,49165,505,27705,43742
71619,4,mannheimminers,32512,75004,63599,2094,4168
31439,4,mannheimminers,26728,73109,48562,57557,48755
14323,4,mannheimminers,5087,45820,10775,21104,24857
10842,4,mannheimminers,73856,55278,65176,13526,40741
39515,4,mannheimminers,9419,76795,48838,54656,625
59732,4,mannheimminers,71943,75651,31094,39275,2083
56452,4,mannheimminers,6791,46124,42610,16508,49373
53496,4,mannheimminers,60831,53365,78013,43825,65591
27903,4,mannheimminers,14080,53029,28065,57993,33456
53672,4,mannheimminers,59190,22760,62768,40714,60509
29813,4,mannheimminers,29894,70683,77423,21964,18077
67909,4,mannheimminers,56838,45686,40795,24603,64181
36620,4,mannheimminers,17905,60918,54377,50591,12798
44197,4,mannheimminers,24504,34802,1095,69754,37373
68772,4,mannheimminers,54858,32233,499,45288,17126
72058,4,mannheimminers,54246,62104,13890,43926,16895
17921,4,mannheimminers,52813,24998,75321,7621,45773
67832,4,mannheimminers,33928,68184,15609,33157,18146
73203,4,mannheimminers,63036,62409,52146,9383,66793
30873,4,mannheimminers,6557,64684,75432,51143,58914
46059,4,mannheimminers,77948,56059,40423,44415,21610
49615,4,mannheimminers,76535,76310,77442,19822,22760
76629,4,mannheimminers,29052,32320,36312,72003,27982
55488,4,mannheimminers,61837,53582,29054,53086,4686
30713,4,mannheimminers,34741,52830,11812,78426,9942
3527,4,mannheimminers,41927,77268,65464,48566,2600
52884,4,mannheimminers,68515,6406,40607,71149,24090
48270,4,mannheimminers,61323,67302,52539,77199,15655
18224,4,mannheimminers,6651,20973,26479,58741,67340
39309,4,mannheimminers,45902,1424,29309,40635,19434
11265,4,mannheimminers,37553,67184,29513,17817,70796
8288,4,mannheimminers,28729,7620,56405,9162,70901
40312,4,mannheimminers,3700,35291,56098,66730,58428
35418,4,mannheimminers,56930,47201,67381,75739,49115
78181,4,mannheimminers,56858,59544,70842,74541,32594
8859,4,mannheimminers,8859,72401,70715,4414,67352
3875,4,mannheimminers,65369,58436,28966,25437,46025
17348,4,mannheimminers,54372,41811,8113,48763,29801
37321,4,mannheimminers,8612,51311,73155,73662,3166
22277,4,mannheimminers,27060,52932,29480,13836,25254
52705,4,mannheimminers,44332,6951,16623,57968,45298
26856,4,mannheimminers,4355,68285,30674,10959,40517
36095,4,mannheimminers,2792,17093,2979,54550,18438
66497,4,mannheimminers,14617,77712,27595,71515,13507
55326,4,mannheimminers,2608,75683,51280,69700,13754
3959,4,mannheimminers,35563,4836,5022,11737,62887
66928,4,mannheimminers,49188,58203,46164,38790,76181
23159,4,mannheimminers,1766,28475,65708,69228,31791
76762,4,mannheimminers,55155,61178,45889,72792,73641
73748,4,mannheimminers,33054,15424,55312,48618,69350
8248,4,mannheimminers,22853,68901,45934,54399,68539
39766,4,mannheimminers,77357,61214,19742,9000,66818
49234,4,mannheimminers,28502,77474,29736,40355,38520
23366,4,mannheimminers,23809,31597,63409,47764,70026
59734,4,mannheimminers,71201,17533,41792,23434,77018
41020,4,mannheimminers,22356,7715,58978,46409,13939
74389,4,mannheimminers,21769,52479,64608,18489,20022
8538,4,mannheimminers,12997,43523,75644,55758,61252
40113,4,mannheimminers,78512,61952,3266,19875,43471
32980,4,mannheimminers,22097,31168,59378,72716,4834
47068,4,mannheimminers,52653,13115,22100,64009,60707
20083,4,mannheimminers,20287,39296,52786,10456,15227
31728,4,mannheimminers,27692,9009,78766,53828,35184
52192,4,mannheimminers,36525,5341,28071,27198,55259
62732,4,mannheimminers,56972,35107,5669,52491,63219
30746,4,mannheimminers,54492,34655,28851,60938,56100
22622,4,mannheimminers,177,62558,44818,53061,36806
54612,4,mannheimminers,4794,62588,5060,52178,28305
59032,4,mannheimminers,43834,63083,70184,50382,9275
26385,4,mannheimminers,75311,30164,61284,11635,67189
65461,4,mannheimminers,371,28726,5857,17903,44214
54835,4,mannheimminers,72155,75815,73277,33202,55611
54737,4,mannheimminers,2653,31260,45467,75990,56766
76905,4,mannheimminers,60579,60577,52269,29268,8700
45093,4,mannheimminers,19349,32545,37146,8456,32366
31273,4,mannheimminers,13785,54369,52696,28981,41873
851,4,mannheimminers,72857,11286,74064,63068,71544
16935,4,mannheimminers,21876,51346,9936,48802,41635
28379,4,mannheimminers,9053,10801,31487,25635,72746
17009,4,mannheimminers,60033,38313,21642,65944,72919
1486,4,mannheimminers,33672,71211,68970,65199,71743
62630,4,mannheimminers,33204,47468,3300,75984,13986
