titleQueried|titleFound|author|language|description|isbn
Princess Poppy: The Big Mix Up|Princess Poppy: The Big Mix Up|Janey Louise Jones|en|A brand-new story in the best-selling Princess Poppy series with gorgeous coloured pages! Poppy is really excited because she and Mum are working at Cousin Saffron's sewing shop for the day while Saffron minds Poppy's baby brother and sister, Angel and Archie. She is absolutely sure it is going to be the most brilliant day ever because the shop is so fabulously glamorous and she'll get to chat to customers all day. But things start to go wrong when Poppy gets a bit carried away with all the village gossip she hears! Find out how Poppy becomes the biggest gossip in the village and whether or not her friends will ever forgive her for spreading rumours? Join Poppy as she learns that you shouldn't believe everything you hear, and you certainly shouldn't repeat it - especially if it is just village gossip!|9781409048787
Einfach zeichnen! Step by Step|Einfach zeichnen! Step by Step||de||9783849927608
Red Queen 1|Red Queen|Victoria Aveyard|en|The first novel in the #1 bestselling RED QUEEN series by Victoria Aveyard. THIS IS A WORLD DIVIDED BY BLOOD - RED OR SILVER. The Reds are commoners, ruled by a Silver elite in possession of god-like superpowers. And to Mare Barrow, a seventeen-year-old Red girl from the poverty-stricken Stilts, it seems like nothing will ever change. That is, until she finds herself working in the Silver Palace. Here, surrounded by the people she hates the most, Mare discovers that, despite her red blood, she possesses a deadly power of her own. One that threatens to destroy the balance of power. Fearful of Mare's potential, the Silvers hide her in plain view, declaring her a long-lost Silver princess, now engaged to a Silver prince. Despite knowing that one misstep would mean her death, Mare works silently to help the Red Guard, a militant resistance group, and bring down the Silver regime. But this is a world of betrayal and lies, and Mare has entered a dangerous dance - Reds against Silvers, prince against prince, and Mare against her own heart . . . _________________________________ Read the international bestselling RED QUEEN series in full: Book 1: RED QUEEN Book 2: GLASS SWORD Book 3: KING'S CAGE Book 4: WAR STORM Book 5: BROKEN THRONE (AN EXCLUSIVE RED QUEEN COLLECTION)|9781409150732
Ewig geliebt|Ewig geliebt|J. R. Ward|de|Rhage und Mary sind Geliebte und Seelenverwandte – und sie sind einander auf ewig verbunden: Weil Mary ein Mensch ist, wurde ihre Lebenskraft an Rhages geknüpft, damit sie gemeinsam ein glückliches Leben voller Leidenschaft und Liebe verbringen können. Doch dann wird Rhage in der Schlacht verwundet, und der mächtige Vampir wird plötzlich mit ganz neuen Gefühlen und einer dunklen Zukunft konfrontiert. Wird ihm Mary auf seinem neuen Weg folgen? Denn auch sie verbirgt ein gefährliches Geheimnis ...|9783641195908
Meine Sticker-Tiere|Meine Sticker-Tiere||de||9783845817446
Unsterblich 02 - Tor der Nacht|Unsterblich - Tor der Nacht|Julie Kagawa|de|Im Herzen der Dunkelheit bist du auf dich allein gestellt In einer Welt, in der die Menschen von den Vampiren wie Sklaven gehalten werden, hat die siebzehnjährige Allison die einzig richtige Entscheidung getroffen: Sie hat die Unsterblichkeit gewählt und genießt nun die Vorzüge eines sorgenfreien Lebens unter den Vampiren. Doch ihre Vergangenheit lässt sie nicht los, und als Allie an den Ort zurückkehrt, der einst ihre Heimat war, macht sie eine furchtbare Entdeckung: Die Rote Schwindsucht, die den Menschen vor Allies Geburt zum Verhängnis wurde, ist zurückgekehrt. Und diesmal sind auch die Vampire gefährdet, sich anzustecken. Nur einer kann vielleicht Abhilfe schaffen: Kanin, Allies »Schöpfer«. Unter den Vampiren gilt er jedoch als abtrünnig, und niemand weiß, wo er sich aufh ält. Wird es Allie rechtzeitiggelingen, ihn zu finden?|9783641122713
Pedro und die Bettler von Cartagena|Pedro und die Bettler von Cartagena|Ursula Hasler, Susann Opel-Götz|de|Kind; Armut; Dritte Welt; Kinderbuch; Kolumbien.|9783423702485
Reiter der schwarzen Sonne|Reiter der schwarzen Sonne|Swen Harder|en||9783939212171
WAS IST WAS Quiz Autos|WAS IST WAS Quiz Autos|Lorena Lehnert|de||9783788676223
WAS IST WAS Quiz Autos|WAS IST WAS Quiz Natur||de||9783788621353
WAS IST WAS Quiz LÃ¤nder der Welt|WAS IST WAS Quiz Länder der Welt|Carolin Langbein|de||9783788676216
