itemID|title|author|publisher|main topic|subtopics
21310|Princess Poppy: The Big Mix Up|Janey Louise Jones|Penguin Random House Children's UK|YFB|[5AH]
73018|Einfach zeichnen! Step by Step|Wiebke Krabbe|Schwager und Steinlein|AGZ|[5AJ,AGZ,WFA,YBG,YBL,YNA,YPA]
19194|Red Queen 1|Victoria Aveyard|Orion Publishing Group|YFH|[5AP,FBA]
40250|Meine Kindergarten-Freunde (Pirat)||Ars Edition GmbH|YB|[5AC,5AD,YBG,YBL,YF]
46107|Mein groÃŸes Schablonen-Buch - Wilde Tiere|Elizabeth Golding|Edition Michael Fischer|WFTM|[WD,WFTM,YBG,YBL,YBLD,YBLN1]
34217|Ewig geliebt|J. R. Ward|Heyne Taschenbuch|FMR|[1KBB-US-NAK,FMX,FRX,3MRBF]
31436|Meine Sticker-Tiere||Ars Edition GmbH|YBG|[5AD,YBG,YBLL]
14576|Unsterblich 01 - Tor der DÃ¤mmerung|Julie Kagawa|Heyne Taschenbuch|YFE|[5AQ,FM,YFE,YFH]
17731|Unsterblich 02 - Tor der Nacht|Julie Kagawa|Heyne Taschenbuch|YFH|[5AQ,FM,YFE,YFH]
58723|Pedro und die Bettler von Cartagena|Ursula Hasler|dtv Verlagsgesellschaft|YFB|[5AM,1KLSC]
73124|Freundebuch - Einhorn-Paradies - Meine Freunde||Coppenrath F|YZG|[5JA,YBG,YBL,YFH,YZS]
33976|Die HaushÃ¶rerin|Anna Lummfeld|Books on Demand|FMR|[1DFG-DE-VH,FMR,FMX,FRD]
2408|Reiter der schwarzen Sonne|Swen Harder|Mantikore Verlag|FMB|[5AN,WDHW]
30277|WAS IST WAS Quiz Autos|Lorena Lehnert|Tessloff Verlag|YNV|[5AJ,YBL]
29508|WAS IST WAS Quiz LÃ¤nder der Welt|Carolin Langbein|Tessloff Verlag|YNV|[5AJ,YBL]
75659|WAS IST WAS Quiz FuÃŸball|Lorena Lehnert|Tessloff Verlag|YNWD1|[5AJ,2ACG,SFBC,WDKX,YBL,YNVP,YZG]
55699|Spring in eine PfÃ¼tze! Mein perfekter FrÃ¼hling/ Mein perfekter Sommer. Wendebuch|ViktoriaSarina|CE Community Editions|YNVP|[YBG,YBL,YNVP,YZS]
62433|Und dann kamst du|Heike Abidi|Oetinger Taschenbuch GmbH|YXHL|[5AQ,5JA,DND,YFM,YXHL]
72603|Ich hab einen Freund, der ist Astronaut|Ralf Butschkow|Carlsen Verlag GmbH|YBCS|[5AC,4CA,YBL,YF,YNK,YNMH,YNNZ,YNTR]
11989|Vampire Academy 06|Richelle Mead|LYX|FMR|[5AQ,FMB,FMR,FMX,FRT]
11117|Vampire Academy - SchattentrÃ¤ume|Richelle Mead|LYX|FMR|[5AQ,FMR,FMX,FRD,FRT]
73865|Wir spielen Kasperltheater|Peter Mitschitczek|Perlen-Reihe|ATDH|[5AC,WDM,YBL,YND]
15581|Der Herr der Ringe|J. R. R. Tolkien|Klett-Cotta Verlag|FMB|[FYT,YFH]
4892|Harry Potter 4 and the Goblet of Fire|Joanne K. Rowling|Bloomsbury UK|YFH|[5AK]
44815|Covet|Tracy Wolff|ENTANGLED PUB|YFHR|[]
63847|A Vow So Bold and Deadly|Brigid Kemmerer|Bloomsbury UK|YFHR|[YFM]
3106|Kiss Me Never (Crushed-Trust-Reihe 1)|Lana Rotaru|Carlsen Verlag GmbH|FRD|[5AQ,5AX,5JA,5LKE,1KBB,FRM,YFM]
4283|Hold Me Tonight (Crushed-Trust-Reihe 2)|Lana Rotaru|Carlsen Verlag GmbH|FRD|[5AQ,5AX,5JA,5LKE,1KBB,FRM,YFM]
63166|Fingerstempel-SpaÃŸ Kunterbunt||Ars Edition GmbH|YBLD|[5AD,YBG,YBLD]
44220|Fingerstempel-SpaÃŸ Tiere||Ars Edition GmbH|YBG|[5AD,YBG,YBLD,YBLL]
54393|Picklewitch & Jack and the Cuckoo Cousin|Claire Barker|Faber & Faber|YFH|[5AF,YFQ,YFS]
64544|Spiele-Klassiker Gummitwist-Set|Birgit Fuchs|moses. Verlag GmbH|YBL|[]
55796|Freundebuch - Handlettering - Meine Freunde||Coppenrath F|YBG|[5JA,WFU,YBG,YBL,YZS]
6942|Mein Wisch-und-weg-Buch: GroÃŸbuchstaben|Jessica Greenwell|Usborne Verlag|YBG|[5AF,YBL]
23197|Nichts|Janne Teller|dtv Verlagsgesellschaft|YFS|[5AQ,1DND,YFB,YFS]
2417|A Court of Thorns and Roses. Acotar Adult Edition|Sarah J. Maas|Bloomsbury UK|YFH|[FMR]
57800|Das Schwert der Vorsehung|Andrzej Sapkowski|dtv Verlagsgesellschaft|ATFN|[ATFN,FJ,FM,FYB,FYT]
11525|Zeit des Sturms|Andrzej Sapkowski|dtv Verlagsgesellschaft|ATFN|[ATFN,FJ,FM,FMB,FYT,3KLN]
12143|The Testaments|Margaret Atwood|Random House LCC US|FDB|[FB,FL]
42285|Die Dunkelmagierin|Arthur Philipp|Blanvalet Taschenbuchverl|FMB|[]
41198|The Invisible Life of Addie LaRue|V. E. Schwab|Macmillan USA|FM|[]
43845|Small Gods|Terry Pratchett|Orion Publishing Group|FM|[]
62630|The Night Parade|Kathryn Tanquary|SOURCEBOOKS JABBERWOCKY|YFH|[1F,YFJ]
25330|Viele GrÃ¼ÃŸe, Deine Giraffe!|Megumi Iwasa|Moritz Verlag-GmbH|YBCS|[YF]
5368|Winter Stories|Enid Blyton|Hachette Children's  Book|YFA|[5AH,5HPD,4CD,YFH,YFJ,YFU]
46998|Goldene Flammen|Leigh Bardugo|Knaur Taschenbuch|FMB|[FBA,FMB,FMR,FYT]
2253|Eisige Wellen|Leigh Bardugo|Knaur Taschenbuch|FBA|[FBA,FMB,FMR,FYT]
52878|Gaspard de la Nuit|Aloysius Bertrand|Hollywood Comics|FM|[]
53706|Mats & Milad|Eva Rottmann|Jacoby & Stuart|YF|[YX]
26528|Ace of Shades|Amanda Foody|INKYARD PR|YFCF|[YFH]
7464|LEGOÂ® NINJAGOÂ® Das groÃŸe Ninja-Lexikon|Arie Kaplan, Hannah Dolan|Dorling Kindersley Verlag|YNVD|[5AG,ATF,YBL,YNF,YNP,YNVD,YRG,YZG]
30953|Brian Froud's Faeries' Tales|Wendy Froud, Brian Froud|ABRAMS|FM|[FN]
72543|Black Dagger - Phury & Cormia|J. R. Ward|Heyne Taschenbuch|FMR|[1KBB-US-NAK,FMX,FP,3MRBA]
13855|Das groÃŸe Bastelbuch fÃ¼r kreative Entdecker|Sven Nordqvist|Edel Kids Books|YBG|[5AD,YB,YBG,YBL]
65634|It Only Happens in the Movies|Holly Bourne|Usborne Publishing|YFB|[5AQ,YFM]
59843|Brothers of the Wind|Tad Williams|Hodder And Stoughton Ltd.|FMB|[]
71896|Der Triumph der Zwerge|Markus Heitz|Piper|FMB|[FMH]
56766|Die Spiderwick Geheimnisse 01 - Eine unglaubliche Entdeckung|Holly Black, Tony DiTerlizzi|cbj|YFC|[5AJ,YFC,YFH]
75990|Die Spiderwick Geheimnisse 02 - GefÃ¤hrliche Suche|Holly Black, Tony DiTerlizzi|cbj|YFC|[5AJ,YFC,YFH]
66314|Die Chroniken von Narnia - Illustrierte Gesamtausgabe|Clive Staples Lewis, C. S. Lewis|Ueberreuter Verlag|YFH|[5AL,FM,YFH]
6422|Die Chronik des Eisernen Druiden 08. AufgespieÃŸt|Kevin Hearne|Klett-Cotta Verlag|FYT|[FM,FYT]
65865|Dangerous Boys - Wenn du mich findest|Catherine Doyle|cbt|YFCB|[5AQ,1KBB-US-MLCC,YFM]
12633|Dangerous Boys - Wenn wir uns verlieren|Catherine Doyle|cbt|YFCB|[5AQ,1KBB-US-MLCC,YFM]
1713|Kiss Me Twice - Kiss the Bodyguard 2|Stella Tack|Ravensburger Verlag|YFM|[FR,FRD,YFB,YFM]
69584|Dangerous Boys - Wenn ich dir vertraue|Catherine Doyle|cbt|YFM|[5AQ,1KBB-US-MLCC,YFCB,YFM]
63299|Endlich groÃŸe Schwester||dabelino|YBGC|[WZG,YBGC,YZG]
10666|Aus den Filmen zu Harry Potter: Eine magische Reise: Alles fÃ¼r deine Fahrt nach Hogwarts|Insight Editions, Panini|Panini Verlags GmbH|FMM|[5AK,ATF,WZS,YBL,YZS]
62464|TrÃ¶tsch Mein erstes Ausmalbuch||TrÃ¶tsch Verlag GmbH|YBL|[YB]
30497|Das Spiel der GÃ¶tter 18|Steven Erikson|Blanvalet Taschenbuchverl|FMB|[FBA,FMB,FYT]
35114|Das Spiel der GÃ¶tter 19|Steven Erikson|Blanvalet Taschenbuchverl|FMB|[FBA,FMB,FYT]
60628|Das Spiel der GÃ¶tter 17|Steven Erikson|Blanvalet Taschenbuchverl|FMB|[]
31091|Die Hexenholzkrone 1|Tad Williams|Klett-Cotta Verlag|FMB|[FYT]
54132|An Absolutely Remarkable Thing|Hank Green|Penguin LCC US|FBA|[FJ,FL,FMW,FXB]
14207|Der letzte Wunsch|Andrzej Sapkowski|dtv Verlagsgesellschaft|ATFN|[ATFN,FJ,FM,FYB,FYT]
809|Geschichten aus dem gefÃ¤hrlichen KÃ¶nigreich|J.R.R. Tolkien|Klett-Cotta Verlag|FMB|[FYB,FYT]
73840|Astrid Lindgren|MarÃ­a Isabel SÃ¡nchez Vegara|Insel Verlag GmbH|JBSF1|[5AF,JBSF1,YBCS,YBL,YNB,YNG,YNL,YNM,YNMF,YX]
31293|Meine Kindergarten-Freunde (Pferde)||Ars Edition GmbH|YBG|[5AC,5JA,YBG,YBL,YXHB,YZG,YZS]
43652|Mein Freund Salim|Uticha Marmon|Magellan GmbH|YFB|[5AJ,5PG]
16927|A Long Way Down|Jason Reynolds|Faber And Faber Ltd.|YFB|[5AN,YDP,YFH,YFN,YXQ]
38013|League of Legends. Die Reiche von Runeterra||Knaur HC|FBA|[FBA,FM,FYV,FZ,SXE,3MR]
69262|Mein Immer-wieder-Stickerbuch: Ostern|Felicity Brooks|Usborne Verlag|YBG|[5HPF,YBL]
48446|Escape-Stickerbuch - Juwelenraub|Philip Kiefer|Ars Edition GmbH|YBG|[5AJ,YBG,YBL,YFCF,YNVP]
7512|Mein Glitzer-Sticker-Schloss: Meerjungfrauen|Laura Leintz|Carlsen Verlag GmbH|JNLA|[5AF,4CA,JNLA,YBG,YBL]
42408|Mein Immer-wieder-Stickerbuch: Im Sommer|Hannah Watson|Usborne Verlag|YBG|[YBL]
49921|Wow! Das Metallic-Stickerbuch - Abenteuer Unterwasserwelt||Ars Edition GmbH|YBG|[5AD,YBG,YBL,YNNB1]
71747|Der kleine Rabe Socke: Fehler finden mit dem kleinen Raben Socke||Esslinger Verlag|YZS|[5AD,5HKB,4CA,YBG,YBL,YN,YZS]
22212|Mein Anziehpuppen-Stickerbuch: EinhÃ¶rner|Fiona Watt|Usborne Verlag|YBG|[YBL]
78837|Mein Immer-wieder-Stickerbuch: Dschungel|Kirsteen Robson|Usborne Verlag|YBG|[YBL]
23115|Rune|Inka Loreen Minden|Books on Demand|FFJ|[5PSG,FFJ,FMR,FRD]
36339|Mein erstes Bastelbuch||Coppenrath F|YNPH|[5ABK,5AC,YBL]
34873|Tortues Ã  l'infini|John Green|Gallimard|YF|[]
34965|The Cruel Prince|Holly Black|Hot Key Books|YNXB|[5AN,YFH,YXF,YXG]
38171|Advanced Potion Making|Noel Green|Lulu.com|FL|[]
33208|The Walled City|Ryan Graudin|Hachette Children's Group|YFH|[]
40673|Du hast aber Mut!|Brigitte Blobel|Arena Verlag GmbH|YFS|[5AH]
78643|Wunder Sieh mich nicht an|Raquel J. Palacio|dtv Verlagsgesellschaft|YXHB|[5AM,1KBB-US-NAK,YFB,YFN,YFS,YXHB,YXQ]
73628|Die TÃ¶chter des Drachen/Der Thron der Libelle|Wolfgang Hohlbein|LÃ¼bbe|FM|[FMB]
32594|Lovely Curse, Band 1: Erbin der Finsternis|Kira Licht|Ravensburger Verlag|FR|[5AQ,5AX,FM,FMR,FRD,FRM,YFHR,YFM]
19070|City of Elements 1|Nena Tramountani|Oetinger Taschenbuch GmbH|YFHR|[5AQ]
40949|Der siebte Sohn|Julia Maar|NOVA MD|DSY|[DSY,FMH,FN,FYR,YFH,YFM]
36495|Gregs Tagebuch - Band 1 und 2|Jeff Kinney|Baumhaus Verlag GmbH|YFS|[5AL,5AM,1KBB,YFS,3MR]
23654|Harry Potter 1 und der Stein der Weisen|Joanne K. Rowling|Carlsen Verlag GmbH|YFH|[5AL,5LD,1DDU,6FG,FM,YFB,YFC,YFH,YFS]
48285|Der dunkle Turm 1. Schwarz|Stephen King|Heyne Taschenbuch|FMB|[FH,FK,FYT]
27488|Erstes Zeichnen fÃ¼r Kinder ab 3 Jahren||Schwager und Steinlein|YNV|[YBL,YNV]
77371|Dark Deeds, Volume 3|Mike Brooks|SAGA PR|FLS|[]
69849|The Crossing of Ingo|Helen Dunmore|HarperCollins Publishers|YFH|[5AL]
44331|tiptoiÂ® Die Welt der Musik|Inka Friese|Ravensburger Verlag|YNCS|[5AD,YBG,YBL,YNCS]
33258|Spring in eine PfÃ¼tze! Das Buch zum Fertigmalen|ViktoriaSarina|CE Community Editions|WZG|[5AJ,5JA,1KBB,WD,WZG,YBG,YBL,YZG,YZS]
4449|TrÃ¶tsch Der kleine Maulwurf Puzzlebuch|Zdenek Miler|TrÃ¶tsch Verlag GmbH|YBCS|[5AD,YBG,YBL]
46389|Superfreunde - Das Freundebuch||Edition Michael Fischer|YXHB|[5AG,WZG,YBG,YBL,YZG]
14526|Herr der Diebe|Cornelia Funke|Oetinger Taschenbuch GmbH|YF|[5AL]
62556|Level 4. Die Stadt der Kinder|Andreas SchlÃ¼ter|dtv Verlagsgesellschaft|YFCF|[5AL,5AM,YFG,YXHB]
69185|Die Kunst des Zeichnens fÃ¼r Kinder|Gecko Keck|Frech Verlag GmbH|WFA|[5,5A,5AK,5J,5JA,5JB,W,WF,WFA]
38931|Das XXL-Entdecker-Set - Geniale Maschinen - Mit 10 Modellen zum Selberbauen, Sachbuch, Experimenten |Rob Colson|Edition Michael Fischer|YNTC|[YBL,YNTD,YNTG]
44168|Doctor Who: The Legends of River Song|Jenny T. Colgan, Jacqueline Rayner, Steve Lyons, G|Ebury Publishing|FL|[]
31995|Die Chroniken von Alice - Dunkelheit im Spiegelland|Christina Henry|Penhaligon|FMT|[FBA,FKM,FMT,FN,FYB,FYT,FYV]
25620|Feuer und Blut - Erstes Buch|George R.R. Martin|Penhaligon|FBA|[FBA,FMB,FYT]
21235|Assassin's Apprentice (The Illustrated Edition)|Robin Hobb|Random House LCC US|FMB|[FJ,FMH,3KHF]
63730|Ich kann 1000 Dinge zeichnen. Kritzeln wie ein Profi!|Norbert Pautner|Bassermann, Edition|YBG|[5AF,YBL]
2835|Fire & Frost, Band 2: Vom Feuer gekÃ¼sst|Elly Blake|Ravensburger Verlag|YFH|[5AQ,5HKA,5JA,FDB,FM,YFG,YFH,YFM]
21526|The House in the Cerulean Sea|T. J. Klune|Macmillan USA|FMK|[5PSG]
56753|The House in the Cerulean Sea|Tj Klune|TOR BOOKS|FMK|[5PSG]
72081|One Of Us Is Next|Karen M. McManus|Penguin Books Ltd (UK)|YFCB|[5AN,5X,1KBB,YFCF,YFM,YFS]
47205|Metabolic|Dennis Stephan|united p.c. Verlag|FB|[]
40913|144000|Cornelia de Pablos|Dachbuch Verlag GmbH|FBA|[FBA,FDB,FDK]
11743|Lodernde Schwingen|Leigh Bardugo|Knaur Taschenbuch|FMB|[FBA,FMB,FMR,FYT]
66553|Das Lied von Eis und Feuer|George R. R. Martin|Penhaligon|FMB|[FMH,FZ,WFX,WZS]
74094|RÃ¤tselblock ab 8 Jahre, Band 1, A5-Block|Agnes Spiecker|Hauschka Verlag|WDK|[5AJ,4CD,WDK,YB,YBL,YNU,YNVP,YZG]
9865|Redaktion WadenbeiÃŸer Band 1|Ina Rometsch|moses. Verlag GmbH|YFCF|[5AJ,X,YBL]
26296|RÃ¤tselblock ab 10 Jahre, Band 1|Agnes Spiecker|Hauschka Verlag|WDK|[5AL,4CD,WDKC,WDKN,WDKX,YB,YBL,YNU,YNVP,YZG]
67315|Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 3|Rifujin Na Magonote|Seven Seas Entertainment, LLC|XADC|[YFB]
38123|Kritzel-Kratzel-OsterspaÃŸ||Schwager und Steinlein|YBGC|[5AF,5HPF,YB,YBG,YBGC,YBL,YZG]
11084|Titan|Brandon Q. Morris|Belle Epoque Verlag|FLP|[1ZMCK,FLU]
36594|Enceladus|Brandon Q. Morris|Belle Epoque Verlag|FLP|[1ZMCK,FLU]
25809|Enceladus - Die RÃ¼ckkehr|Brandon Q. Morris|Belle Epoque Verlag|FLP|[1ZMCK,FLU]
19898|Jupiter|Brandon Q. Morris|Belle Epoque Verlag|FLP|[5AT,1ZMCK,FLU]
66150|Io|Brandon Q. Morris|Belle Epoque Verlag|FLP|[1ZMCK,FLU]
33070|Dead or Alive|Derek Landy|HarperCollins Publishers|YFH|[]
73604|Das unsichtbare Leben der Addie LaRue|V. E. Schwab|FISCHER TOR|YFHR|[5JA,1KBB-US-NAK,1KBB-US-NAKC,FJ,FMH,FMX,FR,FV,FYT,YFC,YFH,YFHR]
24770|Das verlorene Buch|Cassandra Clare, Wesley Chu|Goldmann TB|FMR|[1FPC-CN-HB,1KBB-US-NAK,FM,FMR,FMX,3MRB]
22579|Die Sprache der Dornen|Leigh Bardugo|Knaur HC|FBA|[FBA,FMB,FN,FYB,FYT]
9972|Die Pan-Trilogie 03: Die verborgenen Insignien des Pan|Sandra Regnier|Carlsen Verlag GmbH|YFHR|[5AQ,5JA,5LKE,6FG,FMR,FMX,FN,FRT,FRU,YFB,YFHR,YFM,YFT]
41474|Tochter der GÃ¶tter - Glutnacht|Amanda Bouchet|LÃ¼bbe|FMB|[5JA,FMR,FR]
45331|Tochter der GÃ¶tter - Schattenweg|Amanda Bouchet|Bastei LÃ¼bbe|FMB|[5JA,FMR,FR]
14306|Tochter der GÃ¶tter - Eismagie|Amanda Bouchet|Bastei LÃ¼bbe|FMB|[5JA,FMR,FR]
71577|Ich und die Walter Boys|Ali Novak|cbt|YFM|[5AP,1KBB-US-NAKC,1KBB-US-WMC,YFN]
44954|Die Pan-Trilogie 02: Die dunkle Prophezeiung des Pan|Sandra Regnier|Carlsen Verlag GmbH|YFHR|[5AQ,5JA,5LKE,6FG,FMR,FMX,FN,FRT,FRU,YFB,YFHR,YFM]
32458|ELFENKRONE|Holly Black|cbt|YFH|[5AQ,FN,YFJ,3MRBF]
61237|Aufstieg und Fall des auÃŸerordentlichen Simon Snow|Rainbow Rowell|dtv Verlagsgesellschaft|YFCF|[5AP,1DDU-GB-E,YFCF,YFH,YFM,YFS,YXHB,YXHL,3MRBF]
57212|Die Pan-Trilogie 01. Das geheime VermÃ¤chtnis des Pan|Sandra Regnier|Carlsen Verlag GmbH|YFHR|[5AQ,5JA,5LKE,6FG,FMR,FMX,FN,FRT,FRU,YFB,YFHR,YFM,YFT]
78743|Harry Potter Boxed Set: The Complete Collection (Adult Paperback)|Joanne K. Rowling|Bloomsbury UK|YFH|[FM]
53473|Dreamworks Spirit Wild und Frei: Mein groÃŸes Malbuch||Ravensburger Verlag|YBGC|[5AF,YBL]
61686|Gamechanger|L. X. Beckett|St Martin's Press|FL|[]
59146|WAS IST WAS Quiz Pferde|Lorena Lehnert|Tessloff Verlag|YNNJ24|[5AJ,2ACG,WDKX,YBL,YNNH4,YNVP,YZG]
69702|Fae - The Sins of the Wyrde|Graham Austin-King|Fallen Leaf Press|FM|[]
54640|Dune - Der WÃ¼stenplanet|Frank Herbert|Heyne Taschenbuch|FLC|[FLC,FLS,FYT]
53898|Fall
12316|Gregs Filmtagebuch - Endlich berÃ¼hmt!|Jeff Kinney|Baumhaus Verlag GmbH|YFS|[5AL,1KBB,YFQ,YFS,YZG,3MRB]
17284|Meine Kindergarten-Freunde (Dinosaurier)||Ars Edition GmbH|YBG|[5AC,5JB,YBG,YBL,YXHB,YZG,YZS]
15813|Mein erstes Einhorn-Bastelbuch||Coppenrath F|YNPH2|[5AC,YBG,YBL]
24075|Minecraft - Tipps fÃ¼r Kids|Joachim Klang|Heel Verlag GmbH|YNV|[5AG,YBL]
54274|FÃ¼r kleine Zeichner - Tiere|Nico Fauser|Bassermann, Edition|YBG|[5AD,YBL]
9338|Looking for Alaska|John Green|Penguin LCC US|YXHL|[5AQ,YFB,YXG,YXJ]
52234|Mein Sticker-Pferdebuch||Ars Edition GmbH|YBG|[5AD,YBG,YBL]
47344|Spinnenkuss|Jennifer Estep|Piper Verlag GmbH|FMX|[1KBB,1KBB-US-SCT,FMR,FMX]
2230|Obsidian. Schattendunkel (mit Bonusgeschichten)|Jennifer L. Armentrout|Carlsen Verlag GmbH|YFHR|[5AQ,1KBB,FL,FMR,FMX,YFB,YFG,YFM]
37833|GroÃŸvater und die WÃ¶lfe|Per Olov Enquist|dtv Verlagsgesellschaft|YFC|[5AJ,1DNS]
26112|Endlich groÃŸer Bruder||dabelino|YBGC|[WZG,YBGC,YZG]
50982|Starsight|Brandon Sanderson|Orion Publishing Group|YFG|[]
45278|Rhythm of War - The Stormlight Archive 04|Brandon Sanderson|Macmillan USA|FM|[]
5512|Kindred - Verbunden|Octavia E. Butler|worten & meer|F|[]
77784|Matti und Sami und die drei grÃ¶ÃŸten Fehler des Universums|Salah Naoura|Beltz GmbH, Julius|YXHB|[5AK,YFB,YFM,YFQ,YXF,YXHB]
26365|Ready Player One|Ernest Cline|FISCHER TOR|FBA|[FBA,FDB,FHK,FJ,FLP,FYT,FYW,UBM,UBW,UDX,UGG,UYV,UYW]
75305|One of Us is Lying|Karen M. McManus|Penguin Books Ltd (UK)|YFCF|[5AN,5X,YFCB,YFM,YFS]
21692|Die Optimierer|Theresa Hannig|LÃ¼bbe|JBCT1|[1D,FDB,FLQ,JBCT1,3MR]
47217|Hollowpox|Jessica Townsend|Hachette Children's  Book|YFB|[5AK,4CD,YFC,YFH]
75928|Die Drachenschwestern|Fox Virginia, Virginia Fox|Dragonbooks Publishing|FLC|[FMR,FRD,FRM]
17342|Gilde der JÃ¤ger 08. Engelsmacht|Nalini Singh|LYX|FMR|[1KBB,F,FB,FMX,FP,FR]
66247|Der Geist in der British Library und andere Geschichten aus dem Folly|Ben Aaronovitch|dtv Verlagsgesellschaft|VXWT|[1DDU-GB-ESL,FF,FFK,FFP,FH,FMK,FMW,FMX,FYB,FYT,VXWT]
44024|Mein erstes Stickerbuch: In der Natur|Felicity Brooks|Usborne Verlag|YBG|[5AC,YBL]
40898|Maze-Runner-Schuber (6 BÃ¤nde im Taschenbuch-Schuber inklusive Bonusband mit Â»Crank PalaceÂ« und Â»Die |James Dashner|Carlsen Verlag GmbH|FLQ|[5AQ,YFC,YFE]
5117|Cemetery Boys|Aiden Thomas|Little, Brown Book Group|YFHR|[YNXB,YNXW]
6798|Kernstaub|Marie GraÃŸhoff|Drachenmond Verlag||[FM]
29335|Midnight Breed Novelle. Das Sehnen der Nacht|Lara Adrian|LYX|FBA|[5JA,1KBB,FB,FBA,FMR,FR,FRD,FRT,3MRB]
