,itemID,title,author,language,collection,isbn,publisher,description,main topic,subtopics
51803,53261,"#ImToo - The story of Minnie and friends, who just like you, think they might also be too. Why do ki",Eric DeSio,,,,Be You Books,,YXQF,YFB
51804,48408,#Sticker for Future,Carmen Eisendle,,,,Frech Verlag GmbH,,YBG,5AF|5HRA|5HRB|5HRC|5HRD|5JA|5JB|RNK|RNU|W|WD|WFK
51806,14300,#mexicanrevolution (Edizione Italiana),I. D. Oro,,,,INDEPENDENTLY PUBLISHED,,YFZR,
51807,73474,#selbstschuld - Was heißt schon privat,Thomas Feibel,,,,Carlsen Verlag GmbH,,JBFK4,5AN|JBFK4|YFB|YXHB|YXQF
51808,30689,"''2046 (Back to 2046,Chinese Edition)",'',,,,1 Plus Publishing & Consulting,,DNT,FL
51810,41348,'Alisi 'i he Fonua 'o e Fakaofo,Lewis Carroll,,,,Evertype,,YFH,
51811,28903,'Atshnegjir,Walter D. Reimer,,,,AuthorHouse,,FM,
51812,29592,'Existen las hadas?,Roser Rovira,,,,Blurb,,YFB,
51813,9947,'MAGINATION,Jack Saunders,,,,AuthorHouse,,YFH,
51814,43893,'O Tafaoga a 'Alise i le Nu'u o Mea Ofoofogia: Alice's Adventures in Wonderland in Samoan,Lewis Carroll,,,,EVERTYPE,,YFA,YFH
51815,24968,"'Que prefieres? libro de juegos para niños: Preguntas muy difíciles, divertidas e hilarantes para ni",Jake Jokester,,,,LIGHTNING SOURCE INC,,YBG,
51816,21341,'Quién es? / Who's That?,Marla Larsson Perfect,,,,Orange Hat Publishing,,YFN,YXF
51817,21391,'Stop in the name of pants!',Louise Rennison,,,,HarperCollins Publishers,,YFM,5AM|YFQ
51818,38965,'cómo Dicen Estoy Enojado Los Dinosaurios? (How Do Dinosaurs Say I'm Mad?): (spanish Language Editio,Jane Yolen,,,,SCHOLASTIC,,YFP,YFN|YXE
51819,10553,'dónde Está Alberto? (Where's Albert?): Conteo Y Conteo Salteado (Counting & Skip Counting),Eleanor May,,,,KANE PR,,YBLC,
51820,6918,'dónde Está Mi Hogar?,Margaret Salter,,,,CRABTREE PUB,,YFP,
51821,69507,"'el Canguro Tiene Mamá?: Does a Kangaroo Have a Mother, Too? (Spanish Edition)",Eric Carle,,,,RAYO,,YFP,YFN
51822,13398,'me Lo Compras?,Elisenda Roca,,,,BAMBU,,YFS,
51823,35427,'qué Día Es Hoy?/What Day Is It?,Alex Moran,,,,HARCOURT BRACE & CO,,YXHB,YF
51824,48252,'qué Es Esto?=what Is It?,Margaret Hillert,,,,NORWOOD HOUSE PR,,YFC,
51825,51211,'tu Mamá Es Una Llama? (Is Your Mama a Llama?),Deborah Guarino,,,,SCHOLASTIC,,YFN,YFP
51826,23372,(Commander Kellie and the Superkids' Novel #9) the False Identity,Christopher P. N. Maselli,,,,HARRISON HOUSE,,YFK,
51828,27922,...on the Move,Harriet May Savitz,,,,iUniverse,,YFB,YXK
51829,18965,...wspomnit li Rodina-mat' teh dostojnyh i wernyh swoih synowej,Viktor Rqzancew,,,,YAM,,FL,
51830,27878,"1, 2, 3, 4 Lieblingstier",Sabine Lohf,,,,Gerstenberg Verlag,,YBGH,5AD|YBC|YBGH|YBL
51831,46809,"1,500 Sticker Fun Animals","Joshua George, Oakley Graham, Susan Mayes",,,,SILVER DOLPHIN BOOKS,,YFCA,YBG|YFP
51832,63392,1-2-3 a Calmer Me: Helping Children Cope When Emotions Get Out of Control,"Colleen A. Patterson, Brenda Miles, Claire Keay",,,,MAGINATION PR,,YXE,YF
51833,75819,100 % Mallorca - Ausmalbuch,"Lluisa Calafat, Margalida Castells",,,,DIX,,Y,
51834,43665,100 Facts Bugs,,,,,Miles Kelly Publishing Ltd,,YBLA,
51835,57372,100 First Words,Tiger Tales,,,,TIGER TALES,,YBL,
51836,52611,100 First Words for Toddlers: English - Spanish Bilingual: 100 Primeras Palabras Para Niños Pequeños,Jayme Yannuzzi,,,,ROCKRIDGE PR,,YPCA21,YBLA
51837,38256,100 Gute-Laune-Rätsel - Ostern,,,,,Loewe Verlag GmbH,,YNVP,5AF|5HPF|4CA|YBG|YBL|YNVP|YZG
51838,3546,100 Gute-Laune-Rätsel - Prinzessinnen und Feen,,,,,Loewe Verlag GmbH,,YNXB4,5AF|4CA|YBGH|YBL|YNMW|YNVP|YZG
