|itemID|title|author|language|collection|isbn|publisher|description|main topic|subtopics
51805|32836|#famous|Jilly Gagnon||||HarperCollins Publishers Inc||YFM|YXQ
51809|71057|'Acaso Todos Se Pedorrean? (Does Everybody Fart?)|Luis Rodriguez||||Luis fernando rodriguez||YFB|
51827|24800|... trägt Jeans und Tennisschuhe|Frauke Kühn||||Rowohlt Repertoire||YFCF|"5AN|1DFG|1QBDN|YFB|YFY|YXH|YXJ|3MPQX"
51843|62077|100 Tipps für Regentage|Oliver Bieber||||Schwager und Steinlein||YNVP|"5AG|YBG|YNN|YNU|YNVP"
51844|35895|100 funkelnde Zauberkleider|Susan Maupin Schmid||||Oetinger Taschenbuch GmbH||YF|5AK
51851|74818|1000 Gefahren im Internet|Frank Stieper||||Ravensburger Verlag||YFCA|"5AL|5AR|UBW"
51852|422|1000 Gefahren in der Schule des Schreckens|Fabian Lenk||||Ravensburger Verlag||YBG|"5AL|XQG|YBC|YBG|YFC"
51854|53219|11|David Williams||||Wild Wolf Publishing||FXM|
51865|17114|13 Weihnachtstrolle machen Ärger|Sabine Städing||||Carlsen Verlag GmbH||YFH|"5AJ|5HPD|YFQ"
51895|41616|2047 Les Prophéties|Alain René Poirier||||Books on Demand||FLG|5AQ
51914|23623|23-Tom Swift and the Martian Moon Re-Placement (HB)|Victor Appleton Ii||||Lulu.com||FL|
51917|620|25 Days of Roses|Mellanie Crouell||||Warren Publishing, Inc||YFB|"5PB-US-C|1KBB|YNM"
51922|70842|3 Lilien, Das zweite Buch des Blutadels|Rose Snow||||Ravensburger Verlag||YFM|"5AQ|FMR|FR|FRD|YFHR|YFM"
51930|36239|333 Kinderwitze - Schule|||||Loewe Verlag GmbH||YPCA21|"5AJ|5HC|5HK|5HP|4CD|FU|JNLB|WHJ|WHL|WHX|YF|YNU|YPC|YZG"
51933|35570|35. Los mejores libros para bebés (Libros para niños de 2 años - Vol. 4)|Garcia Santiago||||Fichas de preescolar||YBG|
51943|10829|44 Cats: Mein schönstes Katzen-Malbuch|||||Nelson||YBGC|5AC
